index,CRASH_TIME,latitude,longitude
149,21:24,40.7596553,-73.9582108
150,23:30,40.705461,-73.7814805
151,19:00,40.7185771,-73.7957088
152,4:35,40.7534887,-73.9808774
153,23:46,40.8430559,-73.8477408
154,12:30,40.6209195,-73.975271
155,0:30,25.8581493,-80.2503981
156,13:40,40.7157141,-73.8077761
157,16:01,40.8357258,-73.888746
158,20:00,40.7817096,-73.8238507
159,15:45,40.7314155,-73.9464147
160,8:20,40.7612355,-73.9638956
161,19:09,40.6689855,-73.906681
162,18:20,40.6372837,-73.9317717
163,12:45,40.8744637,-73.9002981
164,15:34,40.7488786,-73.9758504
165,3:46,40.7496629,-73.966833
166,6:15,40.80932,-73.9295188
167,19:30,40.6667479,-73.902236
168,10:30,40.7131597,-73.9007435
169,16:20,40.6523261,-73.9275238
170,19:45,40.8655259,-73.8622817
171,9:20,40.6206143,-74.1523364
172,9:30,40.7472995,-73.9758304
173,16:54,40.8035651,-73.9118408
174,0:17,40.6620595,-73.9196378
175,13:02,40.6904471,-73.9594227
176,11:38,40.6586765,-73.9001774
177,22:50,40.6971618,-73.7275294
178,13:07,40.700659,-73.936416
179,6:30,40.6865453,-73.7761233
180,9:50,40.6370623,-73.986419
181,12:00,40.6191141,-74.1596078
182,9:35,40.7149271,-73.9478427
183,6:10,40.747352,-73.886705
184,18:18,40.6963206,-73.9754467
185,12:00,40.7243482,-73.7425023
186,14:20,40.5862667,-73.9861917
187,23:05,40.6507307,-73.9206022
188,22:15,40.7273749,-73.90312
189,15:10,40.5732105,-74.0970884
190,16:50,40.7403271,-73.9278069
191,15:02,40.6840101,-73.9502997
192,10:16,40.7002048,-73.9538913
193,8:30,40.6869661,-73.7517576
194,9:52,40.7044763,-73.8763058
195,11:10,40.708361,-73.924003
196,11:20,40.739528,-73.925121
197,18:04,40.6379937,-74.021332
198,21:40,40.7509846,-73.9402762
199,16:10,49.217343,-122.6584419
200,15:00,40.5885322,-73.9623196
201,19:45,40.7410159,-73.7257912
202,8:24,40.678749,-73.793993
203,20:17,40.827834,-73.9193389
204,16:08,40.5758366,-74.1240566
205,17:47,40.640955,-73.9485191
206,20:29,40.7679828,-73.8771979
207,13:06,40.6698356,-73.9098168
208,20:59,40.763546,-73.882082
209,9:35,40.6513628,-73.8927507
210,0:08,40.696565,-73.791247
211,2:12,40.6781792,-73.8977501
212,16:49,30.0414047,-89.9573265
213,13:45,40.708678,-73.93698
214,15:05,40.8247877,-73.9366741
215,18:23,40.5972906,-73.9986599
216,21:20,40.8781543,-73.840024
217,22:20,40.6970006,-73.935293
218,22:32,40.6732546,-73.8777201
219,18:15,40.6668863,-73.9949048
220,18:10,40.6353374,-73.9581585
221,17:03,40.7149364,-73.7931563
222,14:54,40.7302034,-73.954274
223,15:30,40.677924,-73.918191
224,7:44,40.6078857,-73.925535
225,13:45,40.5402121,-74.1490301
226,19:40,40.7034077,-73.8627577
227,14:44,40.583836,-73.8230873
228,9:30,40.877825,-73.8795819
229,15:45,40.7744938,-73.8380924
